rank,value,expected_dtm,orientation,paper_id,db_offset,db_byte,result
507733,Win,1,primary,90721044212,1939104644,1,OK
507735,Win,1,primary,90721054837,1939115269,1,OK
507736,Win,1,primary,90721060150,1939120582,1,OK
507738,Win,1,primary,90721054838,1939115270,1,OK
507739,Win,1,primary,90721060151,1939120583,1,OK
507742,Win,1,primary,90721069004,1939129436,1,OK
507754,Win,1,primary,90260408476,1478468908,1,OK
507755,Win,1,primary,90260413789,1478474221,1,OK
507758,Win,1,primary,90260429727,1478490159,1,OK
507761,Win,1,primary,90260429728,1478490160,1,OK
507774,Win,1,primary,90375216676,1593277108,1,OK
507775,Win,1,primary,90375221989,1593282421,1,OK
507778,Win,1,primary,90375237927,1593298359,1,OK
507781,Win,1,primary,90375237928,1593298360,1,OK
507795,Win,1,primary,90068315651,1286376083,1,OK
